id,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20
134,30,50,50,70,75,100,150,20,30,30,30,50,75,100
135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,5,15,2,20,10,25,10,20,10,20,20,50,25,50
137,50,200,300,120,100,800,1000,50,200,300,100,200,500,1000
138,100,150,200,200,600,900,1000,500,500,500,500,500,500,500
139,100,100,100,1000,1000,1000,1000,10,100,200,200,200,300,300
140,20,20,20,20,20,20,20,20,20,20,20,20,20,20
141,30,30,30,30,30,30,30,30,30,3030,30,30,30,30
142,100,250,500,600,750,800,1000,0,0,0,0,250,250,500
143,300,500,550,550,750,750,800,300,400,700,500,1000,500,1000
144,15,20,20,20,30,40,40,15,15,20,20,20,20,30
145,5,7,10,12,15,17,20,5,8,10,15,15,17,20
146,50,50,50,50,50,50,75,25,25,25,50,50,50,50
147,0,10,10,100,10,1000,1000,0,0,100,100,0,0,100
148,5,15,50,700,100,10000,500,5,7,10,10,10,10,10
149,10,15,15,20,35,35,20,10,30,20,40,35,40,55
150,1,1,1,1,1,1,2,1,2,2,2,2,2,4
151,5,7.5,10,12.5,15,17.5,20,8,11,14,19,8,NA,30
152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,1,2,3,3,3,3,3,2,2,2,2,2,2,2
154,20,50,100,100,100,100,100,20,40,90,90,90,90,100
155,100,600,800,1000,700,500,300,100,1000,700,300,500,600,800
156,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
157,45,45,45,45,45,45,50,45,45,45,50,50,50,50
158,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,1000,0,0
159,50,50,100,80,150,200,500,50,100,300,200,150,500,200
160,20,25,30,35,40,45,50,10,15,25,30,40,40,50
161,1000,100,600,750,250,900,400,150,300,800,500,600,900,1000
162,20,20,20,20,20,20,20,20,20,20,20,20,20,20
163,NA,NA,NA,NA,NA,NA,NA,20,30,40,50,20,20,60
164,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
165,50,NA,400,500,500,600,700,20,50,200,150,250,300,450
166,10,15,20,25,30,35,40,15,10,20,20,25,30,30
167,15,15,15,15,15,15,15,15,15,15,15,15,15,15
168,20,20,20,40,50,50,50,20,20,220,20,20,30,30
169,40,35,30,30,30,25,25,35,30,20,20,25,25,20
170,50,80,80,100,100,90,95,NA,NA,NA,NA,NA,NA,NA
171,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,30,20,20,15,40,100,100,50,50,50,50,100,100,400
174,35,35,35,35,35,40,40,NA,NA,NA,NA,NA,NA,30
175,100,200,200,200,200,200,200,50,100,100,100,100,100,150
176,30,70,10,70,80,100,20,10,40,50,60,80,100,100
177,10,10,20,20,15,20,15,10,20,40,20,30,20,30
178,60,75,100,100,500,500,500,0,0,200,250,500,500,1000
179,100,100,100,100,100,500,500,100,100,500,500,500,500,500
180,500,500,500,500,500,500,500,500,500,500,500,500,500,500
181,250,500,800,1000,1000,1000,1000,250,500,500,800,800,500,1000
182,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
183,500,1000,1000,1000,1000,1000,1000,500,1000,1000,1000,1000,1000,1000
184,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
185,10,13,15,17,20,19,25,7,20,20,18,20,35,30
186,75,100,100,200,300,300,350,100,200,200,200,200,200,300
187,10,12,15,17,20,30,50,10,10,5,20,15,15,40
188,3,15,5,20,5,5,50,0,2,3,1,5,2,2
189,0,0,500,0,0,0,1000,0,0,0,0,0,500,1000
190,20,60,50,50,50,90,100,10,20,30,30,20,30,40
191,500,700,1000,1000,1000,1000,1000,400,800,900,1000,1000,1000,1000
192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,100,300,500,700,900,400,200,200,200,200,200,100,200,200
194,100,800,200,200,250,300,1000,100,100,200,1000,1000,1000,1000
195,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
196,NA,NA,NA,NA,NA,NA,100,0,0,0,0,NA,NA,NA
197,5,10,20,50,30,50,30,10,50,50,20,30,70,1000
198,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000
199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,20,25,30,15,300,250,300,90,100,200,150,200,100,100
201,100,200,200,200,200,200,200,20,20,30,30,30,30,35
202,1000,1000,1000,1000,1000,1000,1000,10,10,10,10,100,100,1000
203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
204,10,15,50,40,35,30,25,2,3,5,5,5,10,20
205,50,75,100,125,150,175,200,80,110,150,190,220,260,300
206,25,5,30,33,38,5,45,18,15,20,45,45,30,38
207,0,3,1,2,2,5,4,8,6,89,7,8,25,9
208,0,100,200,400,400,600,800,0,200,400,600,800,900,1000
209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
