id,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20
396,45,45,45,45,45,45,45,45,45,45,45,45,45,45
397,0,0,0,0,100,100,100,0,0,0,0,0,0,0
398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,0,NA,0,1000,1000,1000,1000,0,0,0,0,1000,1000,1000
400,50,70,80,800,700,900,950,600,200,100,700,400,500,900
401,30,70,50,50,80,100,50,50,50,100,100,60,50,100
402,5,50,50,50,100,100,200,50,50,100,100,50,100,50
403,100,200,300,500,700,800,10000,10,30,40,500,200,800,1000
404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,100,200,300,400,450,800,1000,100,100,200,300,400,1000,1000
406,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
407,0,0,20,10,10,20,20,0,0,0,0,0,NA,NA
408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,5,8,10,10,10,10,15,NA,NA,NA,NA,NA,NA,NA
410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,10,10,10,10,10,10,20,10,10,10,50,50,50,50
412,NA,NA,NA,NA,NA,NA,NA,200,400,1000,300,500,600,1000
413,0,0,0,0,0,0,0,1,1,1,1,1,11,1
414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,0,1000,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000
416,1000,400,600,500,900,700,800,1000,1000,1000,1000,1000,1000,1000
417,40,50,50,100,1000,200,200,NA,NA,NA,NA,NA,NA,NA
418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,200,400,300,500,500,700,600,400,600,400,300,500,800,600
420,0,0,0,1000,1000,1000,1000,0,0,0,0,0,0,0
421,1000,1000,1000,1000,1000,1000,1000,500,1000,1000,1000,1000,1000,1000
422,NA,NA,NA,NA,500,NA,NA,0,0,0,0,0,0,1000
423,2,5,13,15,20,25,30,10,40,30,25,30,50,40
424,1000,1000,1000,1000,1000,1000,1000,500,500,1000,1000,1000,1000,1000
425,0,1000,1000,1000,10000,1000,1000,0,0,1000,0,1000,1000,1000
426,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
427,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
428,10,15,20,17,25,40,30,15,20,25,30,40,45,50
429,0,0,0,0,250,500,750,0,0,0,250,240,500,750
430,0,0,0,400,100,600,1000,100,500,600,800,700,900,1000
431,2,70,70,70,70,100,150,20,20,40,100,120,150,150
432,50,5,100,100,110,110,200,5,10,15,15,20,50,20
433,100,200,300,400,600,800,1000,50,70,NA,100,300,400,700
434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,200,250,300,350,400,450,500,600,500,400,550,450,350,300
436,1000,1000,800,800,600,1000,600,10,10,500,500,500,500,800
437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,30,20,50,30,30,80,100,20,20,25,30,35,40,25
439,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,50,100,125,150,200,176,500,5,10,150,50,150,200,300
442,1000,1000,1000,1000,1000,1000,1000,10,12,15,20,25,20,30
443,500,500,1000,1000,500,1000,1000,500,1000,1000,400,1000,1000,1000
444,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
445,2,3,4,5,6,7,8,1,3,4,5,6,7,8
446,10,40,50,40,46,48,50,10,12,10,40,50,47,45
447,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
448,0,0,0,20,25,30,80,0,0,0,0,0,0,0
449,1000,1000,1000,1000,800,1000,900,1000,500,800,1000,900,700,600
450,0,0,0,250,500,1000,1000,0,0,0,400,400,500,1000
451,5,7,10,12,15,17,20,5,7,10,10,16,15,20
452,50,75,100,125,150,175,200,50,50,100,100,100,100,100
453,20,25,30,40,50,75,100,20,25,70,40,50,70,100
454,100,150,200,300,400,500,750,100,200,300,400,500,600,750
455,1000,1000,1000,1000,1000,1000,1000,200,500,700,1000,1000,1000,500
456,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA
457,100,100,100,100,100,100,100,100,100,100,100,100,100,100
458,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,50,80,90,100,160,170,200,10,12,15,17,18,25,500
461,100,100,0,150,100,300,500,100,200,100,300,500,500,500
462,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
463,10,10,10,10,10,10,10,5,10,5,10,10,15,20
464,0,0,0,500,750,800,1000,0,300,500,500,700,800,1000
465,0,100,200,500,150,50,700,0,0,0,10,20,40,50
466,0,0,0,0,20,20,20,0,0,0,0,0,10,10
467,20,7,10,100,100,100,100,20,20,50,60,80,75,150
468,50,50,75,75,75,100,100,100,40,40,40,50,50,60
469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,0,0,0,0,0,0,0,0,0,0,0,0,5,10
471,20,25,28,30,35,40,50,20,30,35,35,35,40,40
472,NA,NA,NA,NA,NA,500,NA,50,NA,NA,NA,150,NA,200
473,0,50,50,100,100,100,100,20,100,100,100,100,100,100
474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,0,0,50,400,600,800,1000,0,0,50,75,100,200,300
476,100,150,200,300,500,600,750,100,250,300,400,425,450,500
477,80,100,120,150,200,300,400,10,50,70,80,100,300,500
478,0,0,0,1000,1000,1000,1000,0,0,0,500,500,1000,1000
479,0,0,0,1000,1000,1000,1000,0,100,100,100,1000,1000,1000
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,2,6,8,9,10,11,15,11,13,22,11,22,12,11
482,20,30,20,30,50,100,100,20,50,50,100,100,75,200
483,50,200,100,300,800,900,1000,50,200,200,500,300,300,400
484,200,350,500,650,750,850,950,50,200,400,600,750,800,900
485,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,0,200,500,1000,1000,1000,1000,0,0,0,0,100,100,100
488,20,20,20,20,20,20,20,20,20,20,20,20,20,20
489,500,800,600,900,700,750,1000,5,8,10,12,15,17,20
490,0,100,200,500,200,500,300,200,200,200,200,200,200,200
491,0,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,500,1000,1000,1000,1000,1000,1000,800,900,1000,1000,1000,1000,1000
495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,5,NA,10,12.5,15,17.5,20,20,20,20,20,20,20,20
497,1000,1000,1000,1000,1000,1000,1000,500,1000,800,1000,1000,1000,1000
498,100,100,100,150,150,200,200,100,100,150,250,250,250,300
499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
500,1,10,5,10,30,20,40,5,10,10,10,10,10,30
501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,250,250,500,650,750,750,1000,50,100,150,200,600,600,200
503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,0,0,300,500,700,1000,1000,0,200,300,400,700,700,1000
505,25,1,5,2,50,10,100,5,25,2,1,10,50,15
506,200,300,500,600,500,1000,1000,NA,NA,NA,NA,NA,NA,NA
507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,40,30,30,20,20,20,20,40,40,35,35,30,30,20
511,200,500,800,850,900,950,1000,200,300,700,750,800,900,1000
512,100,400,300,500,600,800,900,50,100,175,150,200,800,900
513,100,100,100,100,100,100,150,100,100,100,100,100,100,100
514,100,150,200,225,250,175,300,10,15,20,22,27,20,40
515,18,7,10,13,5,5,15,7,5,3,5,5,5,4
516,200,500,600,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
517,200,500,500,500,500,600,1000,50,75,100,100,75,250,500
518,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,1000
519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,0,1000,1000,1000,1000,1000,1000,0,0,0,1000,1000,1000,1000
521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,0,0,0,0,0,100,100,0,0,0,0,5,10,20
523,0,0,0,0,0,0,50,5,3,12,20,15,30,50
524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,0,20,20,50,40,50,50,5,5,15,10,15,15,20
526,50,100,500,700,800,900,1000,1000,1000,1000,1000,1000,1000,1000
527,0,0,0,0,0,500,500,0,0,0,0,400,400,400
528,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
529,250,500,750,750,1000,1000,1000,500,750,750,1000,1000,1000,1000
530,100,100,100,150,150,200,500,100,200,200,300,500,550,650
531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
533,0,1,1,1,1,2,20,50,25,100,100,70,90,200
534,0,0,1000,1000,1000,1000,1000,0,0,0,1000,1000,1000,1000
535,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
536,0,0,0,0,100,100,100,0,0,0,0,0,0,0
537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,5,20,25,15,20,15,10,14,16,22,20,18,24,25
539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,50,100,200,115,150,300,250,NA,NA,NA,NA,NA,NA,NA
541,20,10,100,15,15,50,20,20,50,15,55,100,10,100
542,20,5,10,50,20,15,100,5,8,10,50,75,80,100
543,5,5,5,5,10,8,15,2,3,4,3,5,8,10
544,0,0,20,16,20,20,20,0,7,4,6,18,20,40
545,0,0,10,10,20,30,50,0,0,10,15,20,20,20
546,0,0,0,0,0,0,0,0,0,0,0,0,200,500
547,25,35,50,55,60,65,70,20,25,35,40,60,45,70
548,500,600,1000,1000,1000,1000,1000,100,400,500,600,800,1000,1000
549,600,700,1000,1000,1000,1000,1000,NA,NA,NA,NA,NA,NA,NA
550,50,100,100,175,250,200,300,150,150,100,150,200,300,250
551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,0,0,0,0,0,0,0,0,0,0,0,0,0,50
553,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0
554,NA,NA,NA,NA,NA,NA,NA,3,4,10,13,12,6,20
555,12,22,1,3,3,2,2,1,2,2,3,3,1,1
556,0,0,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
557,100,100,50,100,100,25,50,25,25,25,25,25,25,25
558,100,300,200,400,600,800,1000,100,200,400,500,700,800,1000
559,500,1000,1000,1000,1000,1000,1000,NA,NA,NA,NA,NA,NA,NA
560,10,20,20,100,150,150,200,20,20,25,25,30,40,100
561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,100,100,500,500,500,1000,1000,100,100,500,500,500,1000,1000
564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
567,0,0,20,15,30,40,50,0,0,0,20,50,100,150
568,0,0,100,100,150,200,1000,0,0,0,0,100,200,200
569,550,575,600,625,650,675,700,550,675,600,625,650,675,700
570,0,0,0,0,4,3,0,5,6,4,20,9,20,5
571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,10,10,10,10,10,10,10,10,10,10,10,10,10,10
575,0,0,0,0,5,0,5,0,0,5,5,10,5,10
576,0,0,0,400,500,700,600,0,0,500,500,600,0,800
577,0,0,50,50,1000,1000,1000,0,0,50,0,0,0,100
578,0,0,0,0,0,0,50,0,0,0,5,10,10,20
579,1000,1000,1000,1000,1000,1000,1000,1000,800,1000,1000,800,1000,1000
580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
581,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
582,100,500,1000,1000,1000,1000,1000,100,110,120,130,140,150,1000
583,75,75,75,75,100,100,100,75,100,100,100,100,75,100
584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,50,100,100,400,500,500,750,50,100,200,250,300,400,500
586,200,200,300,300,400,400,500,200,200,300,400,400,500,500
587,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,1000
588,0,0,0,0,0,10000,1000,0,0,0,0,0,0,0
589,25,50,100,125,200,150,175,25,100,250,150,500,800,300
590,0,0,0,5,3,5,4,4,5,10,12,13,20,30
591,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
594,0,0,100,100,100,100,100,0,0,100,100,100,100,1000
595,100,50,50,75,1000,75,50,100,100,100,1000,100,1000,1000
596,50,50,25,100,100,100,100,20,20,30,20,30,30,50
597,500,200,200,550,600,750,1000,100,200,500,250,500,600,700
598,100,250,500,700,800,800,1000,5,10,12,12,20,15,20
599,0,200,500,1000,1000,1000,1000,200,500,1000,100,1000,1000,1000
600,5,5,10,12,10,20,20,0,0,15,5,20,30,30
601,100,200,400,500,600,700,900,100,200,300,400,600,800,1000
602,40,50,60,70,80,90,100,10,30,40,20,50,100,100
603,0,0,100,100,100,100,100,0,50,0,0,20,100,150
604,100,500,600,700,800,900,1000,100,300,600,700,800,900,1000
605,300,800,1000,1000,1000,1000,1000,200,300,800,1000,1000,1000,1000
606,0,0,0,0,1000,0,0,600,200,150,300,700,100,1000
607,2,5,15,15,15,20,25,5,15,15,10,10,20,25
608,0,500,750,1000,1000,1000,1000,100,100,500,1000,1000,500,1000
609,10,10,10,10,10,10,10,10,10,10,10,10,10,10
610,100,100,500,250,700,500,1000,0,0,200,0,100,250,500
611,5,10,10,15,15,15,20,5,10,10,15,30,40,20
612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,40,40,50,50,70,70,50,10,20,50,75,75,75,75
614,500,40,20,40,10,10,1000,30,100,100,50,40,1000,200
615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,75,35,30,25,25,20,20,300,400,500,600,600,700,800
617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618,20,20,20,20,20,45,40,35,35,35,35,35,35,35
619,15,100,10,50,100,200,200,30,20,20,15,20,20,10
620,0,0,0,1000,1000,1000,1000,0,0,0,0,1000,1000,1000
621,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
622,0,50,75,100,100,300,200,40,50,220,70,270,300,500
623,0,200,500,500,700,800,1000,0,400,200,500,700,800,1000
624,100,300,500,1000,1000,1000,1000,100,150,200,500,500,500,500
625,500,500,600,750,1000,1000,1000,400,500,700,600,800,1000,1000
626,100,100,100,100,200,500,200,NA,NA,NA,NA,NA,NA,NA
627,50,75,100,125,150,175,200,60,80,100,130,160,180,200
628,10,30,15,20,25,40,40,10,10,20,20,30,10,50
629,200,250,300,325,350,400,500,200,300,350,400,400,500,1000
630,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500
631,0,1000,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000
632,0,0,1000,1000,1000,1000,1000,NA,0,0,0,0,0,1000
633,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
634,1,1,1,1,1,1,1,10,10,10,10,20,10,10
635,1,1,1,1,1,1,1,1,1,111,1,1,1,1
636,2,5,9,6,7,8,9,0,30,30,45,50,55,60
637,10,100,1000,1000,20,1000,1000,50,50,50,50,50,50,50
638,100,150,200,350,300,350,500,50,90,100,100,200,250,300
639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640,200,250,300,300,300,300,400,200,250,500,100,200,500,300
641,0,0,0,0,200,225,250,0,0,0,225,250,300,350
642,150,300,600,750,850,950,1000,150,300,500,700,850,950,1000
